FID,ogc_fid,company,state,capacity
biodiesel_plants_jul2018.75,75,Alaska Green Waste Solutions LLC,AK,0
biodiesel_plants_jul2018.84,84,"Hero Bx Alabama, LLC",AL,20
biodiesel_plants_jul2018.23,23,Futurefuel Chemical Company,AR,60
biodiesel_plants_jul2018.66,66,Delek Renewables Corp,AR,15
biodiesel_plants_jul2018.88,88,Solfuels USA LLC,AR,40
biodiesel_plants_jul2018.41,41,Grecycle Arizona LLC,AZ,2
biodiesel_plants_jul2018.5,5,"Crimson Renewable Energy, LP",CA,22
biodiesel_plants_jul2018.8,8,"American Biodiesel, Inc.",CA,20
biodiesel_plants_jul2018.13,13,Simple Fuels Biodiesel,CA,1
biodiesel_plants_jul2018.18,18,"New Leaf Biofuel, LLC",CA,6
biodiesel_plants_jul2018.29,29,Imperial Western Products Inc,CA,10
biodiesel_plants_jul2018.72,72,"Bay Biodiesel, LLC",CA,4
biodiesel_plants_jul2018.89,89,Buster Biofuels LLC,CA,5
biodiesel_plants_jul2018.91,91,WIE-Agron BioEnergy,CA,15
biodiesel_plants_jul2018.67,67,American GreenFuels,CT,25
biodiesel_plants_jul2018.73,73,Green Biofuels Miami LLC,FL,4
biodiesel_plants_jul2018.76,76,"Genuine Bio-Fuel, Inc.",FL,9
biodiesel_plants_jul2018.2,2,US Biofuels Inc,GA,13
biodiesel_plants_jul2018.14,14,"Down To Earth Energy, LLC",GA,2
biodiesel_plants_jul2018.74,74,Soymet Energy LLC,GA,4
biodiesel_plants_jul2018.54,54,"Big Island Biodiesel, LLC",HI,6
biodiesel_plants_jul2018.20,20,"Iowa Renewable Energy, LLC",IA,36
biodiesel_plants_jul2018.25,25,Western Iowa Energy LLC,IA,45
biodiesel_plants_jul2018.32,32,"Western Dubuque Biodiesel, LLC",IA,30
biodiesel_plants_jul2018.44,44,"Cargill, Incorporated",IA,56
biodiesel_plants_jul2018.47,47,Reg Newton LLC,IA,32
biodiesel_plants_jul2018.50,50,REG - Ralston,IA,38
biodiesel_plants_jul2018.51,51,AG Processing - Algona,IA,76
biodiesel_plants_jul2018.52,52,AG Processing - Sgt Bluff,IA,76
biodiesel_plants_jul2018.65,65,Lva Crawfordsville Biofuel LLC,IA,10
biodiesel_plants_jul2018.71,71,Reg Mason City LLC,IA,30
biodiesel_plants_jul2018.92,92,Tenaska Commodity-Clinton Biodiesel,IA,15
biodiesel_plants_jul2018.7,7,REG - Danville,IL,46
biodiesel_plants_jul2018.27,27,"Incobrasa Industries, Ltd.",IL,36
biodiesel_plants_jul2018.30,30,"Biovantage Fuels, LLC",IL,3
biodiesel_plants_jul2018.46,46,REG - Seneca,IL,67
biodiesel_plants_jul2018.61,61,Stepan Company,IL,22
biodiesel_plants_jul2018.12,12,"Integrity Bio-Fuels, LLC",IN,5
biodiesel_plants_jul2018.68,68,Louis Dreyfus Agricultural Industries LLC,IN,99
biodiesel_plants_jul2018.55,55,Emergent Green Energy Inc,KS,1
biodiesel_plants_jul2018.81,81,"Duonix Beatrice, LP",KS,50
biodiesel_plants_jul2018.9,9,"Owensboro Grain Biodiesel, LLC",KY,49
biodiesel_plants_jul2018.35,35,"Cape Cod Biofuels, Inc.",MA,1
biodiesel_plants_jul2018.58,58,"Maine Bio-Fuel, Inc.",ME,1
biodiesel_plants_jul2018.21,21,Thumb Bioenergy LLC,MI,0
biodiesel_plants_jul2018.80,80,Adrian Lva Biofuel LLC,MI,10
biodiesel_plants_jul2018.11,11,Minnesota Soybean Processors,MN,36
biodiesel_plants_jul2018.17,17,"Ever Cat Fuels, LLC",MN,3
biodiesel_plants_jul2018.63,63,Reg Albert Lea LLC,MN,44
biodiesel_plants_jul2018.4,4,"Deerfield Energy, LLC",MO,30
biodiesel_plants_jul2018.43,43,Natural Biodiesel Plant LLC,MO,5
biodiesel_plants_jul2018.48,48,"Mid-America Biofuels, LLC",MO,30
biodiesel_plants_jul2018.53,53,AG Processing - St. Joseph,MO,42
biodiesel_plants_jul2018.57,57,Global Fuels LLC,MO,5
biodiesel_plants_jul2018.64,64,Ethos Alternative Energy of Missouri LLC,MO,5
biodiesel_plants_jul2018.70,70,"Paseo Cargill Energy, LLC",MO,56
biodiesel_plants_jul2018.79,79,Center Alternative Energy Co 2,MO,5
biodiesel_plants_jul2018.87,87,High Plains Bioenergy St Joseph,MO,25
biodiesel_plants_jul2018.33,33,Scott Petroleum Corporation,MS,17
biodiesel_plants_jul2018.56,56,World Energy Natchez LLC,MS,72
biodiesel_plants_jul2018.16,16,"Triangle Biofuels Industries, Inc.",NC,1
biodiesel_plants_jul2018.26,26,"North American Bio-Energies, LLC",NC,5
biodiesel_plants_jul2018.42,42,Blue Ridge Biofuels LLC,NC,2
biodiesel_plants_jul2018.49,49,Archer-Daniels-Midland Company,ND,85
biodiesel_plants_jul2018.45,45,"Mid America Agri Products/Wheatland, LLC",NE,3
biodiesel_plants_jul2018.24,24,White Mountain Biodiesel LLC,NH,4
biodiesel_plants_jul2018.59,59,"Rio Valley Biofuels, LLC",NM,1
biodiesel_plants_jul2018.37,37,Cincinnati Renewable Fuels LLC,OH,71
biodiesel_plants_jul2018.69,69,High Plains Bioenergy LLC,OK,38
biodiesel_plants_jul2018.39,39,Sequential-Pacific Biodiesel LLC,OR,17
biodiesel_plants_jul2018.10,10,"Lake Erie Biofuels, LLC",PA,45
biodiesel_plants_jul2018.85,85,Keystone Holdings LLC,PA,45
biodiesel_plants_jul2018.28,28,"Newport Biodiesel, Inc",RI,2
biodiesel_plants_jul2018.34,34,"Southeast Biodiesel/South Carolina, LLC",SC,5
biodiesel_plants_jul2018.19,19,"Sullens Transport, LLC",TN,2
biodiesel_plants_jul2018.6,6,REG - New Boston,TX,14
biodiesel_plants_jul2018.36,36,"Global Alternative Fuels, LLC",TX,15
biodiesel_plants_jul2018.38,38,Rbf Port Neches LLC,TX,178
biodiesel_plants_jul2018.60,60,"Sabine Biofuels II, LLC",TX,30
biodiesel_plants_jul2018.62,62,"Reg Houston, LLC",TX,42
biodiesel_plants_jul2018.78,78,Darling Ingredients Inc.,TX,2
biodiesel_plants_jul2018.86,86,World Energy Biox Biofuels LLC,TX,90
biodiesel_plants_jul2018.90,90,"Eberle Biodiesel, LLC",TX,0
biodiesel_plants_jul2018.22,22,"Washakie Renewable Energy, LLC",UT,40
biodiesel_plants_jul2018.1,1,Red Birch Energy Inc.,VA,2
biodiesel_plants_jul2018.3,3,"Virginia Biodiesel Refinery, LLC",VA,5
biodiesel_plants_jul2018.15,15,"Reco Biodiesel, LLC",VA,2
biodiesel_plants_jul2018.77,77,Shenandoah Agricultural Products,VA,0
biodiesel_plants_jul2018.31,31,"General Biodiesel Seattle, LLC",WA,5
biodiesel_plants_jul2018.82,82,REG Grays Harbor,WA,104
biodiesel_plants_jul2018.40,40,Walsh Bio Fuels LLC,WI,5
biodiesel_plants_jul2018.83,83,REG Madison,WI,22
